InputID,MEAN,STDDEV,MIN,MAX
Z0000,404.73010,139.32472,65.92790,702.75886
Z0001,371.26207,126.91826,59.98824,619.39717
Z0002,310.04010,123.90588,19.48812,569.17821
Z0003,202.52583,86.41515,41.01559,385.93706
Z0004,316.19480,113.97854,35.16591,561.05788
Z0005,312.85430,104.45774,32.98045,539.62494
Z0006,261.00566,112.41908,37.78522,524.72093
Z0007,274.90362,92.11238,41.66157,445.79260
Z0008,305.57155,93.20716,58.51804,471.30529
Z0009,263.25189,86.90494,66.31911,439.62553
Z0010,404.90557,129.81641,60.26203,664.68866
Z0011,428.43420,132.54656,60.26203,692.43783
Z0012,399.21233,135.21893,55.45345,664.34576
Z0013,377.29585,130.72182,60.79938,637.35701
Z0014,426.24248,128.23946,104.25625,705.97950
Z0015,320.96692,125.70208,62.31768,556.29020
Z0016,435.54487,211.84029,1.64552,853.47989
Z0017,435.33449,210.84037,1.64552,850.21661
Z0018,437.97140,211.49803,24.34007,841.12495
Z0019,440.50297,140.83691,59.67107,758.50114
Z0020,348.26118,127.23749,63.24224,588.90719
Z0021,365.62779,135.20918,2.01183,621.78096
Z0022,365.08931,134.24049,2.01183,621.23361
Z0023,293.56529,119.08455,51.42531,539.02584
Z0024,337.64789,136.12288,3.98151,581.75757
Z0025,335.40813,135.41227,3.98151,577.99993
Z0026,307.22237,115.77945,5.46752,514.26222
Z0027,255.98189,90.60211,21.79870,436.24974
Z0028,590.68766,234.70628,72.67962,1026.14366
Z0029,643.48741,243.61137,73.22438,1087.20846
Z0030,242.20023,93.71239,42.06453,426.47764
Z0031,276.46231,102.93117,50.38023,477.82133
Z0032,258.83381,109.23070,44.29625,498.73200
Z0033,344.34558,110.65619,49.20347,553.52807
Z0034,278.93545,98.29156,46.02396,493.63480
Z0035,320.54265,122.03865,43.16875,540.16917
Z0036,454.26097,140.96462,92.64689,730.48389
Z0037,421.16137,139.64894,55.45345,679.41508
Z0038,326.59467,138.57264,58.73422,590.20659
Z0039,317.44343,130.86752,56.96255,571.08392
Z0040,381.72344,152.93148,33.93688,655.57390
Z0041,264.62609,98.63889,58.68074,441.40877
Z0042,244.82642,112.17735,37.76168,508.45287
Z0043,322.00920,149.96687,29.84006,599.41917
Z0044,301.24628,145.18414,29.84006,577.03167
Z0045,302.97662,144.34871,34.79718,576.22716
Z0046,307.30857,138.81942,26.57581,561.96596
Z0047,285.01767,135.88826,28.84757,544.35566
Z0048,285.63948,116.00849,60.87699,495.52992
Z0049,277.84307,105.07641,55.86195,486.89963
Z0050,269.01135,102.18158,37.76640,478.89901
Z0051,274.04393,103.31067,37.76640,484.78730
Z0052,290.54057,115.01561,61.19564,502.62101
Z0053,275.10883,108.64649,37.05982,493.08422
Z0054,275.02269,109.99154,33.61828,488.49391
Z0055,278.24021,110.18632,33.61828,481.55622
Z0056,282.43207,112.48521,36.80601,483.79000
Z0057,285.26267,115.19455,36.80601,484.51670
Z0058,293.16322,120.17047,43.36584,499.56511
Z0059,287.14826,113.68663,31.34393,485.30256
Z0060,320.37568,111.87613,27.74783,523.42170
Z0061,256.81100,96.89623,67.01715,460.35498
Z0062,267.69404,99.69462,59.36252,476.28023
Z0063,260.92517,96.76767,27.71554,452.70516
Z0064,272.82883,111.49988,14.88757,513.25593
Z0065,287.02588,111.54808,32.80506,495.95197
Z0066,271.51169,97.39397,57.88064,502.42243
Z0067,342.93336,107.33707,80.84615,608.85917
Z0068,292.76544,114.00625,44.61181,503.91167
Z0069,288.98881,97.03989,49.05410,513.94909
Z0070,361.83569,128.86456,32.93787,597.08212
Z0071,351.93271,132.69907,77.02510,654.75555
Z0072,273.41106,114.45331,31.82471,509.76009
Z0073,403.16710,180.78295,88.40654,809.18964
Z0074,341.14382,170.47115,54.03942,686.18891
Z0075,387.16283,194.99256,31.31685,753.85047
Z0076,453.11634,205.31779,74.21954,858.54108
Z0077,438.01887,169.97177,51.26796,828.05318
Z0078,335.72838,145.36476,39.62221,607.78606
Z0079,317.68231,120.62526,64.06533,524.47414
Z0080,302.60092,113.95384,19.12475,512.69559
Z0081,345.36599,147.11374,26.17382,608.25870
Z0082,374.16890,151.61006,39.96259,640.33753
Z0083,336.07890,148.63605,26.17382,599.10897
Z0084,331.80423,150.74940,24.78612,604.14894
Z0085,359.30595,154.42676,11.73782,634.69744
Z0086,404.41853,146.79880,59.15523,741.76372
Z0087,351.54825,116.99974,31.21933,607.44414
Z0088,320.56455,105.15943,69.59731,565.45228
Z0089,328.92633,124.16832,74.14913,558.59566
Z0090,287.99839,111.79238,25.02198,512.73096
Z0091,320.94215,99.96752,91.73156,520.06320
Z0092,309.99034,106.73744,51.67378,518.07466
Z0093,317.98400,102.06497,38.70605,496.09769
Z0094,329.69228,105.19308,46.27040,521.14668
Z0095,322.16694,111.15425,46.95315,530.77408
