InputID,MEAN,STDDEV,MIN,MAX
Z1728,1100.38685,511.42516,26.86798,2238.83496
Z1729,1021.37676,481.58401,28.05445,2169.36044
Z1730,1041.91729,493.23038,27.98141,2217.21389
Z1731,1015.33996,477.92633,28.05445,2170.15542
Z1732,1030.62703,486.74492,34.20230,2171.25046
Z1733,1047.53705,496.15493,29.45709,2213.73723
Z1734,1089.80330,517.25015,33.72759,2297.23458
Z1735,1096.42541,519.94839,32.22555,2292.86758
Z1736,1053.82520,499.17724,29.45709,2210.69425
Z1737,952.83701,415.32173,29.57875,2200.05137
Z1738,952.58830,423.76939,28.00696,2113.42244
Z1739,1268.45524,577.01703,48.32989,2565.52416
Z1740,1334.84701,596.85613,22.38939,2705.02865
Z1741,991.59397,452.73645,55.34613,2204.34499
Z1742,976.20517,441.57951,55.34613,2167.82185
Z1743,1500.52916,601.03365,8.56538,2761.27056
Z1744,985.18454,450.59606,13.74411,2051.39411
Z1745,1443.52319,594.35945,22.95779,2680.08095
Z1746,1388.69303,585.26132,35.76463,2610.32690
Z1747,1084.23494,492.39968,31.61572,2196.02782
Z1748,1610.94340,614.19392,20.99071,2961.05497
Z1749,1453.26536,601.15701,16.69127,2640.12299
Z1750,1425.23630,600.47812,27.94651,2568.99617
Z1751,1435.58863,601.35517,27.94651,2589.13805
Z1752,1451.63761,605.30122,42.37362,2590.42787
Z1753,944.84441,421.21396,30.38492,1900.26153
Z1754,1135.93142,528.81003,22.04525,2220.85520
Z1755,1147.23686,543.83934,5.44572,2319.30016
Z1756,1075.84838,507.29715,29.13011,2193.60196
Z1757,925.04054,404.66993,15.46340,1863.26227
Z1758,927.66421,407.17382,15.46340,1868.46805
Z1759,1017.34477,470.38298,22.18389,2115.71290
Z1760,1014.91173,467.74524,7.24335,2111.62103
Z1761,944.46415,427.90861,35.96358,1940.92894
Z1762,921.33833,411.03734,13.91266,1895.92041
Z1763,1161.87983,554.36446,15.79244,2370.20906
Z1764,1175.68892,560.15760,11.70713,2389.04262
Z1765,1137.18363,531.70260,13.93361,2340.74780
Z1766,1237.72356,576.76902,18.11349,2498.94092
Z1767,1135.49143,539.37871,16.64025,2340.92604
Z1768,1228.34775,572.61946,15.67265,2484.92121
Z1769,1143.10865,524.63710,20.05598,2338.97332
Z1770,1196.64554,526.20896,12.89071,2384.62973
Z1771,1241.58103,542.90719,26.79486,2457.58637
Z1772,1413.56931,623.80262,7.39899,2734.40212
Z1773,1416.50308,627.41896,10.44178,2739.02016
Z1774,1509.18949,639.33775,4.88092,2850.72282
Z1775,1508.77039,638.81279,4.88092,2850.02195
Z1776,913.44199,385.27409,11.28246,1864.37825
Z1777,923.99905,388.74788,26.79247,1943.53718
Z1778,908.46527,380.34425,10.66306,1879.77020
Z1779,916.03116,382.21135,1.96930,1950.43319
Z1780,899.37800,369.53186,17.38599,1980.17734
Z1781,1307.34546,576.13851,53.40290,2431.34698
Z1782,1431.61345,600.27859,38.25657,2653.57972
Z1783,1429.97920,600.67574,38.25657,2639.87049
Z1784,1304.69212,578.39230,13.70416,2509.59605
Z1785,1384.63108,596.48781,19.77939,2555.95871
Z1786,1325.54364,586.66775,39.62221,2477.01275
Z1787,1230.24878,561.15687,32.87721,2387.10813
Z1788,1188.98936,547.78779,30.96277,2339.17221
Z1789,1208.62195,554.36039,31.39990,2362.24262
Z1790,981.81118,448.45082,13.74411,2045.85533
Z1791,1438.71363,626.38094,16.28840,2954.12373
Z1792,1435.93464,624.67740,16.28840,2946.56203
Z1793,1291.31463,597.96632,28.91129,2780.97017
Z1794,987.74156,444.43436,11.71091,2291.67700
Z1795,985.32986,443.62525,13.59039,2283.66908
Z1796,984.58234,444.79620,33.81180,2270.95964
Z1797,1008.67102,459.38574,15.75357,2341.34354
Z1800,1183.18895,553.83855,19.65098,2522.99060
Z1801,1068.73593,505.51603,27.00738,2331.62419
Z1802,1057.28665,498.82008,29.52429,2305.04864
Z1804,1048.52216,493.45882,5.20503,2275.44656
Z1805,1046.59210,492.27141,5.20503,2272.99538
Z1806,942.55041,415.60872,12.85870,2051.48926
Z1807,952.31439,422.58177,15.34334,2150.71959
Z1808,956.95377,426.50669,15.34334,2159.24878
Z1809,977.64266,442.72577,38.70605,2167.65798
Z1810,884.60628,372.70595,42.43460,1846.56909
Z1811,891.53134,373.76802,41.62307,1878.99626
Z1812,903.47811,381.52892,20.19775,1992.42968
Z1813,871.30621,359.04967,17.44923,1742.50587
Z1814,873.22933,359.82464,21.39438,1750.77927
Z1815,870.09491,358.03538,17.44923,1746.57870
Z1816,869.73526,356.40614,8.27809,1772.53703
Z1817,870.28221,356.46448,8.27809,1778.12064
Z1818,877.94597,366.80536,21.03883,1690.41725
Z1819,875.02937,356.35066,11.98122,1865.24065
Z1820,868.67743,355.27165,24.62435,1781.99867
Z1821,923.16346,403.38605,22.96447,2009.47433
Z1822,878.40697,368.48925,19.96337,1804.66677
Z1823,873.70343,370.18350,30.11735,1668.68856
Z1824,880.80094,378.58971,26.81134,1723.79489
Z1826,885.53021,383.08632,22.88401,1766.95287
Z1827,892.33053,390.72725,16.20995,1772.65820
Z1828,909.53329,404.52099,5.49368,1847.04250
Z1829,912.92655,406.88604,8.33905,1858.47467
Z1830,888.89885,386.77880,22.23492,1766.14708
Z1831,892.74447,388.51722,13.63990,1813.12864
Z1832,895.45636,391.08197,13.63990,1818.12287
Z1833,900.29465,397.53600,13.38190,1807.62121
Z1834,904.14969,400.57699,16.48590,1824.04940
Z1835,882.64411,379.57247,22.99129,1768.14587
Z1836,910.69026,405.35902,5.49368,1850.19550
Z1837,1065.56831,483.20476,16.25606,2429.01163
Z1838,1190.59293,511.19782,64.06520,2416.94761
Z1839,1006.79129,447.19984,38.90380,2318.58554
Z1840,1084.38240,474.75901,49.20347,2370.99811
Z1841,1149.27643,502.20768,45.05262,2456.93625
Z1842,1135.74784,499.52242,25.07395,2462.18757
Z1843,1218.06254,526.87791,22.01913,2561.76243
Z1844,1210.72277,523.72859,21.44992,2543.50485
Z1845,1195.25664,519.67709,28.13750,2530.21314
Z1846,1177.34617,512.25767,28.11468,2492.42996
Z1847,1214.50483,519.53107,10.43395,2478.24045
Z1848,1333.78163,546.72900,18.18941,2511.36455
Z1849,917.23590,405.78891,43.48512,1933.27671
Z1850,1542.70087,608.65490,14.09348,2869.70429
Z1851,1535.41345,608.23663,14.09414,2854.08304
Z1852,1544.12541,609.08368,14.09414,2865.64336
Z1853,1537.06132,608.52096,14.10039,2849.38436
Z1854,1459.09806,601.95554,38.92781,2713.71385
Z1855,1545.54669,609.33678,14.10039,2860.84987
Z1856,1586.83340,612.81283,51.50229,2920.12769
Z1857,1287.55075,580.33325,28.47599,2459.12308
Z1858,1320.95055,588.67592,21.37273,2512.18581
Z1859,1325.31634,589.11867,21.37273,2506.56432
Z1861,1420.57385,605.68263,35.11712,2649.29071
Z1864,1078.10539,511.48681,32.22555,2264.87859
Z1865,1065.60089,505.58369,27.79620,2272.97578
Z1866,992.50252,463.23134,29.17246,2124.71993
Z1867,1105.85148,523.42491,36.21452,2287.36753
Z1868,1114.53622,526.36752,35.65962,2282.72553
Z1869,972.48773,448.85187,16.04843,2086.23635
Z1870,1022.60565,482.06607,14.21484,2197.05032
Z1871,966.25672,444.19332,16.04843,2071.37177
Z1872,1031.24356,485.97242,13.54783,2234.97619
Z1873,1023.31374,481.24636,24.59716,2105.35742
Z1874,1123.42616,531.91229,43.26722,2419.09121
Z1875,1098.17116,521.12529,33.47621,2348.27657
Z1876,1023.21002,475.77516,27.74783,2259.83282
Z1877,1505.44350,625.49041,32.96009,2905.36882
Z1878,1488.73658,623.21740,32.96009,2879.30150
Z1879,1214.26145,568.45358,42.03067,2556.26855
Z1880,1220.44574,570.09262,38.63494,2540.05449
Z1881,1239.66550,576.54732,40.47858,2579.26526
Z1882,1234.25399,573.73201,38.79313,2540.28817
Z1883,1257.53825,581.15315,54.31014,2585.90207
Z1884,1337.23325,597.52356,25.44027,2648.91960
Z1885,1326.80230,594.94387,28.88565,2626.72957
Z1887,1173.58387,552.16827,31.78978,2527.00853
Z1888,1171.37508,551.63606,31.78978,2518.28930
Z1889,1126.67958,532.21504,39.50742,2444.31672
Z1890,1177.60664,554.54875,40.95820,2519.80915
Z1891,1580.62104,638.86410,50.16133,3072.20574
Z1892,1635.20161,641.31248,30.05573,3131.53148
Z1893,1655.18411,642.20339,30.05573,3152.81639
Z1894,1298.63827,594.21431,21.35776,2689.20601
Z1895,1370.78119,612.51060,40.55880,2813.05481
Z1896,1309.61863,599.47223,18.69999,2738.36075
Z1897,1296.23416,595.96448,18.69999,2720.02994
Z1898,1299.43519,596.81234,18.13544,2726.39399
Z1899,1286.16654,593.15051,18.13544,2708.27015
Z1900,1290.20588,594.09963,18.96165,2715.29420
Z1901,1276.69015,590.20186,18.96165,2696.57890
Z1902,1281.42151,591.30063,18.24765,2703.90209
Z1903,1268.29821,587.33226,18.24765,2685.65561
Z1904,1244.35398,578.75649,35.48280,2651.41785
Z1905,1237.49205,576.06047,35.05608,2640.37400
Z1906,1231.57127,573.73784,35.05608,2629.95663
Z1907,1293.86266,593.60620,35.16591,2719.51392
Z1908,1232.88230,576.88162,13.56852,2626.93478
Z1909,1241.94239,579.85248,13.56852,2640.28839
Z1910,1140.20346,541.73159,5.83449,2461.94102
Z1911,1192.68627,562.65531,13.77154,2564.65855
Z1912,1107.66125,526.43329,13.93812,2412.26683
Z1913,1125.64514,535.16973,12.19631,2445.09833
Z1914,1143.08158,542.99317,5.83449,2467.28595
Z1915,1167.20359,552.70506,14.92246,2523.49891
Z1916,1125.27028,534.86133,10.37806,2447.20455
Z1917,1220.69209,570.12766,46.89793,2569.90890
Z1918,1381.27410,603.17410,21.86312,2749.11901
Z1919,1266.61997,587.11504,12.55744,2667.60485
Z1920,1272.79363,588.97615,10.73895,2677.37074
Z1922,1333.16343,598.62106,25.61622,2718.75772
Z1923,1242.71752,578.18587,42.18848,2614.99528
Z1924,1280.61175,591.12219,10.73895,2687.94641
Z1925,1111.96986,523.46598,38.97195,2438.08201
Z1926,1203.35282,540.11126,19.76969,2354.03252
Z1927,1533.36101,647.40340,14.66242,2826.30727
Z1928,1133.34861,518.60040,31.39230,2541.43991
Z1929,1135.22355,532.70394,14.87854,2575.68815
Z1931,1188.75913,556.84059,19.90402,2657.26788
Z1932,1287.07588,538.77744,11.61936,2595.69226
Z1933,1241.88651,536.11239,33.09050,2612.08116
Z1934,1279.97069,541.92244,21.05776,2635.41842
Z1935,1270.63787,534.43569,12.57127,2562.07106
Z1936,1275.47741,535.80963,12.57127,2573.15486
Z1937,1279.53058,537.05795,11.61936,2584.07408
Z1938,1219.88784,587.59405,18.10135,2726.88419
Z1939,1308.56402,621.16723,26.21544,2852.41444
Z1940,1078.48779,507.75655,23.17416,2459.17430
Z1941,947.01218,419.18762,24.46989,2086.30610
Z1942,1257.28452,597.88396,10.54795,2767.28179
Z1943,1264.48008,600.39788,10.54795,2777.08457
Z1944,1315.42383,573.42072,24.62236,2781.47444
Z1946,913.68756,396.99595,50.80300,1814.82665
Z1947,915.32566,395.59643,21.79870,1836.13439
Z1948,1195.77446,570.72537,21.09422,2685.71706
Z1949,1333.77560,604.13737,8.10741,2858.13523
Z1950,1406.11875,612.03242,32.02692,2939.39117
Z1951,1397.30494,614.71226,18.26900,2935.32914
Z1952,1374.83778,620.94166,19.12215,2923.09814
Z1953,1217.47217,585.70674,14.82356,2724.84410
Z1954,1274.97032,606.94798,14.74469,2807.09987
Z1955,1446.03673,652.42815,12.81809,3027.76345
Z1956,1434.47390,650.42115,17.28236,3013.04939
Z1957,1449.59752,652.79610,10.03572,3031.13518
Z1958,1464.64184,654.75979,20.79790,3048.31348
Z1960,1497.93892,658.66621,18.96589,3091.88494
Z1961,1455.21103,650.44601,17.23591,3028.57593
Z1962,1582.77681,664.68445,11.73782,3180.98535
Z1963,1663.36791,664.53352,56.46083,3278.34457
Z1965,1195.78882,575.91453,25.78017,2691.33475
Z1968,934.84230,417.05857,14.94872,1931.10281
Z1970,1264.25005,581.00231,52.17841,2450.15216
Z1971,876.80171,372.11345,16.47994,1681.02889
Z1972,1409.69876,600.24941,34.94884,2578.94041
Z1973,1380.40011,628.01454,17.66974,2671.00276
Z1974,1385.84806,630.20361,23.57659,2686.12554
Z1975,1379.60252,628.31340,35.61418,2684.54233
Z1976,1337.36500,616.80288,14.62731,2614.21530
Z1977,1523.07801,633.50532,11.47179,2862.88405
Z1978,1514.36671,600.37091,29.05185,2811.68654
Z1979,1437.18452,639.76660,31.82471,2761.30387
Z1980,1392.26727,603.99724,29.58781,2696.42761
Z1981,1433.58785,591.39151,28.28554,2750.98198
Z1982,1002.78919,469.49554,30.13801,2080.52767
Z1983,1456.04417,594.96246,28.28554,2779.06498
Z1985,1344.67725,571.79424,5.39297,2589.68710
Z1986,1343.08487,571.27943,5.39297,2588.74758
Z1987,1000.73202,467.68615,28.86312,2058.21146
