InputID,MEAN,STDDEV,MIN,MAX
Z1446,118.32698,53.31187,27.66175,217.11444
Z1447,113.77448,37.74117,34.10958,195.47054
Z1448,89.51121,29.61945,25.61141,154.10134
Z1449,88.82077,32.22923,25.61141,153.32701
Z1450,212.40649,79.25010,17.37719,335.61148
Z1451,210.22468,80.20186,17.37719,337.43419
Z1452,209.86250,62.69330,58.52260,358.90041
Z1453,135.26253,67.06838,6.39144,262.36394
Z1454,134.23080,62.71690,33.34767,245.21243
Z1455,177.14773,57.25401,44.73571,274.88341
Z1456,150.92081,58.14456,58.32086,253.91232
Z1457,182.83857,64.32306,52.36777,280.58607
Z1458,110.47423,49.13793,35.16839,203.44784
Z1459,94.67431,38.15801,25.78017,169.56068
Z1460,154.60624,48.44041,33.73719,249.14434
Z1461,104.42561,41.48204,21.25037,175.62589
Z1462,86.95137,35.46301,18.68723,156.38191
Z1463,108.02312,46.52750,26.99096,202.17030
Z1464,106.03815,40.41947,19.12215,175.75033
Z1465,94.88843,37.42659,14.54183,164.68275
Z1466,94.29745,36.02076,28.63144,162.44911
Z1467,136.13611,46.04217,38.14117,230.52569
Z1468,86.70808,34.20351,19.95932,145.77129
Z1469,87.86775,35.15914,15.90469,152.80023
Z1470,104.20592,45.91422,24.18651,189.23516
Z1471,89.28297,37.02425,18.68723,156.58348
Z1472,90.81868,30.91284,31.16778,146.76577
Z1473,101.88902,43.28504,22.07856,178.30434
Z1474,147.19308,54.36551,40.56613,242.90338
Z1475,96.62240,42.10228,22.45802,171.84543
Z1476,99.77672,45.07980,18.75403,177.65427
Z1477,89.04673,35.31602,22.12334,152.53196
Z1478,90.40918,35.61642,15.90469,153.85291
Z1479,87.48461,35.45038,14.82356,161.00359
Z1480,89.39142,35.74064,21.29796,153.40526
Z1481,92.17338,34.86276,15.30619,151.60491
Z1482,110.44462,37.48855,21.78975,183.07526
Z1483,90.52892,32.09708,21.86054,163.89069
Z1484,96.75059,37.18480,18.10135,165.94803
Z1485,93.05645,34.40054,32.24331,169.50077
Z1486,99.25608,37.10918,21.46123,162.94667
Z1487,88.73122,32.53078,23.28469,160.69719
Z1488,94.79614,38.39401,22.74092,173.91053
Z1489,91.28096,37.06169,27.26938,158.07520
Z1490,91.29371,35.31587,21.29796,155.32223
Z1491,103.99091,42.27759,27.34808,195.17825
Z1492,94.19764,35.08143,24.74892,165.39537
Z1493,96.39658,39.79496,22.74092,176.54994
Z1494,97.53219,41.58075,23.24203,168.77895
Z1495,109.93624,49.35041,19.39784,196.51084
Z1496,99.08817,46.21585,21.90359,181.12369
Z1497,100.29668,38.57205,21.46123,166.40673
