,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0485_Z0561_Z1538,19,"['Z0485', 'Z0561', 'Z1538']","['Residential', 'Residential', 'Residential']",1391.170015,230,"[0.1391304347826087, 0.1391304347826087, 0.7217391304347827]",178,"[0.05056179775280899, 0.06179775280898876, 0.8876404494382022]",4,393,552.01,70400
Z0485_Z0562_Z1538,19,"['Z0485', 'Z0562', 'Z1538']","['Residential', 'Residential', 'Residential']",1322.685317,218,"[0.14678899082568808, 0.09174311926605505, 0.7614678899082569]",175,"[0.05142857142857143, 0.045714285714285714, 0.9028571428571428]",4,385,534.093,66800
Z0485_Z0561,19,"['Z0485', 'Z0561']","['Residential', 'Residential']",390.6303435,64,"[0.5, 0.5]",20,"[0.45, 0.55]",2,44,91.936,23360
Z0485_Z0562,19,"['Z0485', 'Z0562']","['Residential', 'Residential']",322.1456459,52,"[0.6153846153846154, 0.38461538461538464]",17,"[0.5294117647058824, 0.47058823529411764]",2,36,74.019,19280
Z0485_Z1538,19,"['Z0485', 'Z1538']","['Residential', 'Residential']",1197.308265,198,"[0.16161616161616163, 0.8383838383838383]",167,"[0.05389221556886228, 0.9461077844311377]",3,369,501.274,60800
Z0486_Z0562_Z1400,19,"['Z0486', 'Z0562', 'Z1400']","['Residential', 'Residential', 'Residential']",513.7722839,84,"[0.38095238095238093, 0.23809523809523808, 0.38095238095238093]",33,"[0.3333333333333333, 0.24242424242424243, 0.42424242424242425]",3,69,144.708,30160
Z0486_Z0562,19,"['Z0486', 'Z0562']","['Residential', 'Residential']",318.0389694,52,"[0.6153846153846154, 0.38461538461538464]",19,"[0.5789473684210527, 0.42105263157894735]",2,40,83.246,19280
Z0486_Z1400,19,"['Z0486', 'Z1400']","['Residential', 'Residential']",388.3952316,64,"[0.5, 0.5]",25,"[0.44, 0.56]",2,53,111.889,23360
Z0516_Z0517_Z0957_Z0961_Z0966,19,"['Z0516', 'Z0517', 'Z0957', 'Z0961', 'Z0966']","['Residential', 'Residential', 'Residential', 'Residential', 'Residential']",1013.872177,167,"[0.46107784431137727, 0.25149700598802394, 0.08982035928143713, 0.059880239520958084, 0.1377245508982036]",53,"[0.4339622641509434, 0.2830188679245283, 0.09433962264150944, 0.03773584905660377, 0.1509433962264151]",6,109,232.818,51500
Z0516_Z0517_Z0957_Z0961,19,"['Z0516', 'Z0517', 'Z0957', 'Z0961']","['Residential', 'Residential', 'Residential', 'Residential']",875.5046841,144,"[0.5347222222222222, 0.2916666666666667, 0.10416666666666667, 0.06944444444444445]",45,"[0.5111111111111111, 0.3333333333333333, 0.1111111111111111, 0.044444444444444446]",5,92,196.608,44600
Z0516_Z0517_Z0957_Z0966,19,"['Z0516', 'Z0517', 'Z0957', 'Z0966']","['Residential', 'Residential', 'Residential', 'Residential']",950.3337532,157,"[0.49044585987261147, 0.267515923566879, 0.09554140127388536, 0.1464968152866242]",51,"[0.45098039215686275, 0.29411764705882354, 0.09803921568627451, 0.1568627450980392]",5,105,219.492,48500
Z0516_Z0517_Z0961_Z0966,19,"['Z0516', 'Z0517', 'Z0961', 'Z0966']","['Residential', 'Residential', 'Residential', 'Residential']",922.761374,152,"[0.506578947368421, 0.27631578947368424, 0.06578947368421052, 0.1513157894736842]",48,"[0.4791666666666667, 0.3125, 0.041666666666666664, 0.16666666666666666]",5,100,213.73,47000
Z0516_Z0957_Z0961_Z0966,19,"['Z0516', 'Z0957', 'Z0961', 'Z0966']","['Residential', 'Residential', 'Residential', 'Residential']",759.928432,125,"[0.616, 0.12, 0.08, 0.184]",38,"[0.6052631578947368, 0.13157894736842105, 0.05263157894736842, 0.21052631578947367]",5,77,166.364,38900
Z0516_Z0517_Z0957,19,"['Z0516', 'Z0517', 'Z0957']","['Residential', 'Residential', 'Residential']",811.9662603,134,"[0.5746268656716418, 0.31343283582089554, 0.11194029850746269]",43,"[0.5348837209302325, 0.3488372093023256, 0.11627906976744186]",4,88,183.282,41600
Z0516_Z0517_Z0961,19,"['Z0516', 'Z0517', 'Z0961']","['Residential', 'Residential', 'Residential']",784.3938811,129,"[0.5968992248062015, 0.32558139534883723, 0.07751937984496124]",40,"[0.575, 0.375, 0.05]",4,83,177.52,40100
Z0516_Z0517_Z0966,19,"['Z0516', 'Z0517', 'Z0966']","['Residential', 'Residential', 'Residential']",859.2229502,142,"[0.5422535211267606, 0.29577464788732394, 0.1619718309859155]",46,"[0.5, 0.32608695652173914, 0.17391304347826086]",4,96,200.404,44000
Z0516_Z0957_Z0961,19,"['Z0516', 'Z0957', 'Z0961']","['Residential', 'Residential', 'Residential']",621.5609391,102,"[0.7549019607843137, 0.14705882352941177, 0.09803921568627451]",30,"[0.7666666666666667, 0.16666666666666666, 0.06666666666666667]",4,60,130.154,32000
Z0516_Z0957_Z0966,19,"['Z0516', 'Z0957', 'Z0966']","['Residential', 'Residential', 'Residential']",696.3900082,115,"[0.6695652173913044, 0.13043478260869565, 0.2]",36,"[0.6388888888888888, 0.1388888888888889, 0.2222222222222222]",4,73,153.038,35900
Z0516_Z0961_Z0966,19,"['Z0516', 'Z0961', 'Z0966']","['Residential', 'Residential', 'Residential']",668.817629,110,"[0.7, 0.09090909090909091, 0.20909090909090908]",33,"[0.696969696969697, 0.06060606060606061, 0.24242424242424243]",4,68,147.276,34400
Z0516_Z0517,19,"['Z0516', 'Z0517']","['Residential', 'Residential']",720.8554573,119,"[0.6470588235294118, 0.35294117647058826]",38,"[0.6052631578947368, 0.39473684210526316]",3,79,164.194,37100
Z0516_Z0957,19,"['Z0516', 'Z0957']","['Residential', 'Residential']",558.0225153,92,"[0.8369565217391305, 0.16304347826086957]",28,"[0.8214285714285714, 0.17857142857142858]",3,56,116.828,32880
Z0516_Z0961,19,"['Z0516', 'Z0961']","['Residential', 'Residential']",530.4501361,87,"[0.8850574712643678, 0.11494252873563218]",25,"[0.92, 0.08]",3,51,111.066,31180
Z0516_Z0966,19,"['Z0516', 'Z0966']","['Residential', 'Residential']",605.2792052,100,"[0.77, 0.23]",31,"[0.7419354838709677, 0.25806451612903225]",3,64,133.95,31400
Z0517_Z0516_Z0518,19,"['Z0517', 'Z0516', 'Z0518']","['Residential', 'Residential', 'Residential']",976.7748219,161,"[0.2608695652173913, 0.4782608695652174, 0.2608695652173913]",53,"[0.2830188679245283, 0.4339622641509434, 0.2830188679245283]",4,111,231.165,49700
Z0517_Z0516,19,"['Z0517', 'Z0516']","['Residential', 'Residential']",720.8554573,119,"[0.35294117647058826, 0.6470588235294118]",38,"[0.39473684210526316, 0.6052631578947368]",3,79,164.194,37100
Z0517_Z0518,19,"['Z0517', 'Z0518']","['Residential', 'Residential']",509.8631096,84,"[0.5, 0.5]",30,"[0.5, 0.5]",2,64,133.425,30160
Z0518_Z0517,19,"['Z0518', 'Z0517']","['Residential', 'Residential']",509.8631096,84,"[0.5, 0.5]",30,"[0.5, 0.5]",2,64,133.425,30160
Z0532_Z0479_Z0559,19,"['Z0532', 'Z0479', 'Z0559']","['Residential', 'Residential', 'Residential']",1203.478375,199,"[0.18090452261306533, 0.6884422110552764, 0.1306532663316583]",73,"[0.1780821917808219, 0.6986301369863014, 0.1232876712328767]",7,150,314.882,61100
Z0532_Z0479,19,"['Z0532', 'Z0479']","['Residential', 'Residential']",1044.378095,173,"[0.20809248554913296, 0.791907514450867]",64,"[0.203125, 0.796875]",6,130,273.248,53300
Z0532_Z0559,19,"['Z0532', 'Z0559']","['Residential', 'Residential']",377.7153755,62,"[0.5806451612903226, 0.41935483870967744]",22,"[0.5909090909090909, 0.4090909090909091]",2,47,98.835,22680
Z0559_Z0479_Z0532_Z0560,19,"['Z0559', 'Z0479', 'Z0532', 'Z0560']","['Residential', 'Residential', 'Residential', 'Residential']",1483.394276,245,"[0.10612244897959183, 0.5591836734693878, 0.1469387755102041, 0.18775510204081633]",90,"[0.1, 0.5666666666666667, 0.14444444444444443, 0.18888888888888888]",9,185,388.128,74900
Z0559_Z0479_Z0532,19,"['Z0559', 'Z0479', 'Z0532']","['Residential', 'Residential', 'Residential']",1203.478375,199,"[0.1306532663316583, 0.6884422110552764, 0.18090452261306533]",73,"[0.1232876712328767, 0.6986301369863014, 0.1780821917808219]",7,150,314.882,61100
Z0559_Z0479_Z0560,19,"['Z0559', 'Z0479', 'Z0560']","['Residential', 'Residential', 'Residential']",1264.779181,209,"[0.12440191387559808, 0.6555023923444976, 0.22009569377990432]",77,"[0.11688311688311688, 0.6623376623376623, 0.22077922077922077]",8,158,330.927,64100
Z0559_Z0532_Z0560,19,"['Z0559', 'Z0532', 'Z0560']","['Residential', 'Residential', 'Residential']",657.6312763,108,"[0.24074074074074073, 0.3333333333333333, 0.42592592592592593]",39,"[0.23076923076923078, 0.3333333333333333, 0.4358974358974359]",4,82,172.081,33800
Z0559_Z0479,19,"['Z0559', 'Z0479']","['Residential', 'Residential']",984.8632805,163,"[0.15950920245398773, 0.8404907975460123]",60,"[0.15, 0.85]",6,123,257.681,50300
Z0559_Z0532,19,"['Z0559', 'Z0532']","['Residential', 'Residential']",377.7153755,62,"[0.41935483870967744, 0.5806451612903226]",22,"[0.4090909090909091, 0.5909090909090909]",2,47,98.835,22680
Z0559_Z0560,19,"['Z0559', 'Z0560']","['Residential', 'Residential']",439.0161813,72,"[0.3611111111111111, 0.6388888888888888]",26,"[0.34615384615384615, 0.6538461538461539]",3,55,114.88,26080
Z0560_Z0478_Z0559,19,"['Z0560', 'Z0478', 'Z0559']","['Residential', 'Residential', 'Residential']",934.4930222,154,"[0.2987012987012987, 0.5324675324675324, 0.16883116883116883]",55,"[0.3090909090909091, 0.5272727272727272, 0.16363636363636364]",5,117,244.539,47600
Z0560_Z0478,19,"['Z0560', 'Z0478']","['Residential', 'Residential']",775.3927417,128,"[0.359375, 0.640625]",46,"[0.3695652173913043, 0.6304347826086957]",4,97,202.905,39800
Z0560_Z0559,19,"['Z0560', 'Z0559']","['Residential', 'Residential']",439.0161813,72,"[0.6388888888888888, 0.3611111111111111]",26,"[0.6538461538461539, 0.34615384615384615]",3,55,114.88,26080
Z0561_Z0485_Z0957,19,"['Z0561', 'Z0485', 'Z0957']","['Residential', 'Residential', 'Residential']",481.7411465,79,"[0.4050632911392405, 0.4050632911392405, 0.189873417721519]",25,"[0.44, 0.36, 0.2]",3,53,111.024,28460
Z0561_Z0485,19,"['Z0561', 'Z0485']","['Residential', 'Residential']",390.6303435,64,"[0.5, 0.5]",20,"[0.55, 0.45]",2,44,91.936,23360
Z0561_Z0957,19,"['Z0561', 'Z0957']","['Residential', 'Residential']",284.9725529,47,"[0.6808510638297872, 0.3191489361702128]",16,"[0.6875, 0.3125]",2,33,69.824,17580
Z0562_Z0485_Z0486_Z1538,19,"['Z0562', 'Z0485', 'Z0486', 'Z1538']","['Residential', 'Residential', 'Residential', 'Residential']",1515.347235,250,"[0.08, 0.128, 0.128, 0.664]",186,"[0.043010752688172046, 0.04838709677419355, 0.05913978494623656, 0.8494623655913979]",5,409,584.52,76400
Z0562_Z0485_Z0486,19,"['Z0562', 'Z0485', 'Z0486']","['Residential', 'Residential', 'Residential']",514.807563,84,"[0.23809523809523808, 0.38095238095238093, 0.38095238095238093]",28,"[0.2857142857142857, 0.32142857142857145, 0.39285714285714285]",3,60,124.446,30160
Z0562_Z0485_Z1538,19,"['Z0562', 'Z0485', 'Z1538']","['Residential', 'Residential', 'Residential']",1322.685317,218,"[0.09174311926605505, 0.14678899082568808, 0.7614678899082569]",175,"[0.045714285714285714, 0.05142857142857143, 0.9028571428571428]",4,385,534.093,66800
Z0562_Z0486_Z1538,19,"['Z0562', 'Z0486', 'Z1538']","['Residential', 'Residential', 'Residential']",1318.578641,218,"[0.09174311926605505, 0.14678899082568808, 0.7614678899082569]",177,"[0.04519774011299435, 0.062146892655367235, 0.8926553672316384]",4,389,543.32,66800
Z0562_Z0485,19,"['Z0562', 'Z0485']","['Residential', 'Residential']",322.1456459,52,"[0.38461538461538464, 0.6153846153846154]",17,"[0.47058823529411764, 0.5294117647058824]",2,36,74.019,19280
Z0562_Z0486,19,"['Z0562', 'Z0486']","['Residential', 'Residential']",318.0389694,52,"[0.38461538461538464, 0.6153846153846154]",19,"[0.42105263157894735, 0.5789473684210527]",2,40,83.246,19280
