,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0472_Z0470_Z0471_Z0475,174,"['Z0472', 'Z0470', 'Z0471', 'Z0475']","['Residential', 'Residential', 'Residential', 'Commercial']",872.8070512263,143,"[0.23076923076923078, 0.13286713286713286, 0.20279720279720279, 0.43356643356643354]",31,"[0.45161290322580644, 0.22580645161290322, 0.2903225806451613, 0.03225806451612903]",4,110,229.757,44300
Z0472_Z0470_Z0471_Z1399,174,"['Z0472', 'Z0470', 'Z0471', 'Z1399']","['Residential', 'Residential', 'Residential', 'Residential']",713.9493115012,117,"[0.28205128205128205, 0.1623931623931624, 0.24786324786324787, 0.3076923076923077]",45,"[0.3111111111111111, 0.15555555555555556, 0.2, 0.3333333333333333]",4,96,199.606,36500
Z0472_Z0470_Z0475_Z1399,174,"['Z0472', 'Z0470', 'Z0475', 'Z1399']","['Residential', 'Residential', 'Commercial', 'Residential']",914.3879924382,150,"[0.22, 0.12666666666666668, 0.41333333333333333, 0.24]",37,"[0.3783783783783784, 0.1891891891891892, 0.02702702702702703, 0.40540540540540543]",4,125,261.24199999999996,46400
Z0472_Z0470_Z0475_Z1402,174,"['Z0472', 'Z0470', 'Z0475', 'Z1402']","['Residential', 'Residential', 'Commercial', 'Residential']",918.11986467,150,"[0.22, 0.12666666666666668, 0.41333333333333333, 0.24]",35,"[0.4, 0.2, 0.02857142857142857, 0.37142857142857144]",4,120,250.827,46400
Z0472_Z0470_Z0475_Z1539,174,"['Z0472', 'Z0470', 'Z0475', 'Z1539']","['Residential', 'Residential', 'Commercial', 'Residential']",768.2410482416999,125,"[0.264, 0.152, 0.496, 0.088]",38,"[0.3684210526315789, 0.18421052631578946, 0.02631578947368421, 0.42105263157894735]",4,126,222.15499999999997,38900
Z0472_Z0470_Z1399_Z1402,174,"['Z0472', 'Z0470', 'Z1399', 'Z1402']","['Residential', 'Residential', 'Residential', 'Residential']",759.2621249449,124,"[0.2661290322580645, 0.1532258064516129, 0.2903225806451613, 0.2903225806451613]",49,"[0.2857142857142857, 0.14285714285714285, 0.30612244897959184, 0.2653061224489796]",4,106,220.676,38600
Z0472_Z0470_Z1399_Z1539,174,"['Z0472', 'Z0470', 'Z1399', 'Z1539']","['Residential', 'Residential', 'Residential', 'Residential']",609.3833085166,99,"[0.3333333333333333, 0.1919191919191919, 0.36363636363636365, 0.1111111111111111]",52,"[0.2692307692307692, 0.1346153846153846, 0.28846153846153844, 0.3076923076923077]",4,112,192.00400000000002,35260
Z0472_Z0471_Z0475_Z1399,174,"['Z0472', 'Z0471', 'Z0475', 'Z1399']","['Residential', 'Residential', 'Commercial', 'Residential']",971.9067806150999,160,"[0.20625, 0.18125, 0.3875, 0.225]",39,"[0.358974358974359, 0.23076923076923078, 0.02564102564102564, 0.38461538461538464]",4,128,267.077,49400
Z0472_Z0471_Z0475_Z1402,174,"['Z0472', 'Z0471', 'Z0475', 'Z1402']","['Residential', 'Residential', 'Commercial', 'Residential']",975.6386528469,160,"[0.20625, 0.18125, 0.3875, 0.225]",37,"[0.3783783783783784, 0.24324324324324326, 0.02702702702702703, 0.35135135135135137]",4,123,256.66200000000003,49400
Z0472_Z0471_Z0475_Z1539,174,"['Z0472', 'Z0471', 'Z0475', 'Z1539']","['Residential', 'Residential', 'Commercial', 'Residential']",825.7598364185999,135,"[0.24444444444444444, 0.21481481481481482, 0.45925925925925926, 0.08148148148148149]",40,"[0.35, 0.225, 0.025, 0.4]",4,129,227.99,41900
Z0472_Z0471_Z1399_Z1402,174,"['Z0472', 'Z0471', 'Z1399', 'Z1402']","['Residential', 'Residential', 'Residential', 'Residential']",816.7809131218,134,"[0.2462686567164179, 0.21641791044776118, 0.26865671641791045, 0.26865671641791045]",51,"[0.27450980392156865, 0.17647058823529413, 0.29411764705882354, 0.2549019607843137]",4,109,226.51100000000002,41600
Z0472_Z0471_Z1399_Z1539,174,"['Z0472', 'Z0471', 'Z1399', 'Z1539']","['Residential', 'Residential', 'Residential', 'Residential']",666.9020966935,109,"[0.30275229357798167, 0.26605504587155965, 0.3302752293577982, 0.10091743119266056]",54,"[0.25925925925925924, 0.16666666666666666, 0.2777777777777778, 0.2962962962962963]",4,115,197.839,34100
Z0472_Z0471_Z1402_Z1539,174,"['Z0472', 'Z0471', 'Z1402', 'Z1539']","['Residential', 'Residential', 'Residential', 'Residential']",670.6339689253,109,"[0.30275229357798167, 0.26605504587155965, 0.3302752293577982, 0.10091743119266056]",52,"[0.2692307692307692, 0.17307692307692307, 0.25, 0.3076923076923077]",4,110,187.42399999999998,34100
Z0472_Z0475_Z1399_Z1402,174,"['Z0472', 'Z0475', 'Z1399', 'Z1402']","['Residential', 'Commercial', 'Residential', 'Residential']",1017.2195940588,167,"[0.19760479041916168, 0.3712574850299401, 0.2155688622754491, 0.2155688622754491]",43,"[0.32558139534883723, 0.023255813953488372, 0.3488372093023256, 0.3023255813953488]",4,138,288.147,51500
Z0472_Z0475_Z1399_Z1539,174,"['Z0472', 'Z0475', 'Z1399', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential']",867.3407776304999,142,"[0.2323943661971831, 0.43661971830985913, 0.2535211267605634, 0.07746478873239436]",46,"[0.30434782608695654, 0.021739130434782608, 0.32608695652173914, 0.34782608695652173]",4,144,259.475,44000
