,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0054_Z0055,327,"['Z0054', 'Z0055']","['Residential', 'Residential']",428.0286556872,70,"[0.4142857142857143, 0.5857142857142857]",28,"[0.35714285714285715, 0.6428571428571429]",2,60,125.17699999999999,25400
Z0055_Z0054_Z0056,327,"['Z0055', 'Z0054', 'Z0056']","['Residential', 'Residential', 'Residential']",686.3758109654,113,"[0.36283185840707965, 0.25663716814159293, 0.3805309734513274]",46,"[0.391304347826087, 0.21739130434782608, 0.391304347826087]",3,99,206.301,35300
Z0055_Z0056,327,"['Z0055', 'Z0056']","['Residential', 'Residential']",509.8610811525,84,"[0.4880952380952381, 0.5119047619047619]",36,"[0.5, 0.5]",2,77,160.103,30160
Z0056_Z0055_Z0057,327,"['Z0056', 'Z0055', 'Z0057']","['Residential', 'Residential', 'Residential']",759.7000142320001,125,"[0.344, 0.328, 0.328]",54,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,115,238.555,38900
Z0056_Z0057,327,"['Z0056', 'Z0057']","['Residential', 'Residential']",508.1860883577,84,"[0.5119047619047619, 0.4880952380952381]",36,"[0.5, 0.5]",2,77,159.576,30160
Z0063_Z0249_Z1069_Z1697_Z1975,596,"['Z0063', 'Z0249', 'Z1069', 'Z1697', 'Z1975']","['Public', 'Public', 'Residential', 'Commercial', 'Public']",1287.0144382619,212,"[0.42452830188679247, 0.22641509433962265, 0.30660377358490565, 0.03773584905660377, 0.0047169811320754715]",40,"[0.025, 0.025, 0.9, 0.025, 0.025]",5,403,98.898,65000
Z0063_Z0249_Z1069_Z1697,596,"['Z0063', 'Z0249', 'Z1069', 'Z1697']","['Public', 'Public', 'Residential', 'Commercial']",1275.1813672847002,211,"[0.4265402843601896, 0.22748815165876776, 0.3080568720379147, 0.037914691943127965]",39,"[0.02564102564102564, 0.02564102564102564, 0.9230769230769231, 0.02564102564102564]",4,402,98.085,64700
Z0063_Z0249_Z1069_Z1975,596,"['Z0063', 'Z0249', 'Z1069', 'Z1975']","['Public', 'Public', 'Residential', 'Public']",1238.0944595725,204,"[0.4411764705882353, 0.23529411764705882, 0.31862745098039214, 0.004901960784313725]",39,"[0.02564102564102564, 0.02564102564102564, 0.9230769230769231, 0.02564102564102564]",4,398,92.776,62600
Z0063_Z0249_Z1697_Z1975,596,"['Z0063', 'Z0249', 'Z1697', 'Z1975']","['Public', 'Public', 'Commercial', 'Public']",891.2284962869,147,"[0.6122448979591837, 0.32653061224489793, 0.05442176870748299, 0.006802721088435374]",4,"[0.25, 0.25, 0.25, 0.25]",4,324,84.649,45500
Z0063_Z1069_Z1697_Z1975,596,"['Z0063', 'Z1069', 'Z1697', 'Z1975']","['Public', 'Residential', 'Commercial', 'Public']",997.9099492941,164,"[0.5487804878048781, 0.39634146341463417, 0.04878048780487805, 0.006097560975609756]",39,"[0.02564102564102564, 0.9230769230769231, 0.02564102564102564, 0.02564102564102564]",4,345,95.383,50600
Z0063_Z0249_Z1069,596,"['Z0063', 'Z0249', 'Z1069']","['Public', 'Public', 'Residential']",1226.2613885953,203,"[0.4433497536945813, 0.23645320197044334, 0.32019704433497537]",38,"[0.02631578947368421, 0.02631578947368421, 0.9473684210526315]",3,397,91.963,62300
Z0063_Z0249_Z1697,596,"['Z0063', 'Z0249', 'Z1697']","['Public', 'Public', 'Commercial']",879.3954253097,146,"[0.6164383561643836, 0.3287671232876712, 0.0547945205479452]",3,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,323,83.836,45200
Z0063_Z0249_Z1975,596,"['Z0063', 'Z0249', 'Z1975']","['Public', 'Public', 'Public']",842.3085175975001,139,"[0.6474820143884892, 0.34532374100719426, 0.007194244604316547]",3,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,319,78.527,43100
Z0063_Z1069_Z1697,596,"['Z0063', 'Z1069', 'Z1697']","['Public', 'Residential', 'Commercial']",986.0768783169,163,"[0.5521472392638037, 0.3987730061349693, 0.049079754601226995]",38,"[0.02631578947368421, 0.9473684210526315, 0.02631578947368421]",3,344,94.57,50300
Z0063_Z1069_Z1975,596,"['Z0063', 'Z1069', 'Z1975']","['Public', 'Residential', 'Public']",948.9899706047,156,"[0.5769230769230769, 0.4166666666666667, 0.00641025641025641]",38,"[0.02631578947368421, 0.9473684210526315, 0.02631578947368421]",3,340,89.261,48200
Z0063_Z1697_Z1975,596,"['Z0063', 'Z1697', 'Z1975']","['Public', 'Commercial', 'Public']",602.1240073191,99,"[0.9090909090909091, 0.08080808080808081, 0.010101010101010102]",3,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,266,81.134,35260
Z0063_Z0249,596,"['Z0063', 'Z0249']","['Public', 'Public']",830.4754466203001,138,"[0.6521739130434783, 0.34782608695652173]",2,"[0.5, 0.5]",2,318,77.714,42800
Z0063_Z1069,596,"['Z0063', 'Z1069']","['Public', 'Residential']",937.1568996275,155,"[0.5806451612903226, 0.41935483870967744]",37,"[0.02702702702702703, 0.972972972972973]",2,339,88.448,47900
Z0063_Z1697,596,"['Z0063', 'Z1697']","['Public', 'Commercial']",590.2909363419,98,"[0.9183673469387755, 0.08163265306122448]",2,"[0.5, 0.5]",2,265,80.321,34920
Z0063_Z1975,596,"['Z0063', 'Z1975']","['Public', 'Public']",553.2040286297,91,"[0.989010989010989, 0.01098901098901099]",2,"[0.5, 0.5]",2,261,75.012,32540
Z0068_Z1260,241,"['Z0068', 'Z1260']","['Public', 'Commercial']",982.4966086856,163,"[0.7914110429447853, 0.2085889570552147]",2,"[0.5, 0.5]",2,358,69.71600000000001,50300
Z0115_Z0116,214,"['Z0115', 'Z0116']","['Commercial', 'Commercial']",1619.3437804895,269,"[0.5353159851301115, 0.4646840148698885]",7,"[0.7142857142857143, 0.2857142857142857]",7,205,182.197,82100
Z0127_Z1322,683,"['Z0127', 'Z1322']","['Commercial', 'Residential']",795.1034924910999,131,"[0.6564885496183206, 0.3435114503816794]",44,"[0.022727272727272728, 0.9772727272727273]",2,614,88.061,40700
Z0133_Z0197_Z0198,875,"['Z0133', 'Z0197', 'Z0198']","['Residential', 'Residential', 'Residential']",497.41835288929997,81,"[0.18518518518518517, 0.43209876543209874, 0.38271604938271603]",38,"[0.13157894736842105, 0.4473684210526316, 0.42105263157894735]",3,80,167.679,29140
Z0133_Z0197,875,"['Z0133', 'Z0197']","['Residential', 'Residential']",305.74779488039997,50,"[0.3, 0.7]",22,"[0.22727272727272727, 0.7727272727272727]",2,46,97.45,18600
Z0133_Z0198,875,"['Z0133', 'Z0198']","['Residential', 'Residential']",284.8513819352,46,"[0.32608695652173914, 0.6739130434782609]",21,"[0.23809523809523808, 0.7619047619047619]",2,43,89.759,17240
Z0141_Z1370,334,"['Z0141', 'Z1370']","['Residential', 'Residential']",436.030708963,72,"[0.8611111111111112, 0.1388888888888889]",70,"[0.9714285714285714, 0.02857142857142857]",2,154,60.64,26080
Z0149_Z0150_Z0567_Z0570_Z1318_Z1574,176,"['Z0149', 'Z0150', 'Z0567', 'Z0570', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1352.1586350490998,222,"[0.18018018018018017, 0.18018018018018017, 0.16666666666666666, 0.08558558558558559, 0.19369369369369369, 0.19369369369369369]",78,"[0.23076923076923078, 0.2692307692307692, 0.15384615384615385, 0.08974358974358974, 0.24358974358974358, 0.01282051282051282]",10,195,407.55999999999995,68000
Z0149_Z0150_Z0567_Z0570_Z1318,176,"['Z0149', 'Z0150', 'Z0567', 'Z0570', 'Z1318']","['Residential', 'Residential', 'Residential', 'Residential', 'Residential']",1089.4039974766,179,"[0.22346368715083798, 0.22346368715083798, 0.20670391061452514, 0.10614525139664804, 0.24022346368715083]",77,"[0.23376623376623376, 0.2727272727272727, 0.15584415584415584, 0.09090909090909091, 0.24675324675324675]",9,156,325.04999999999995,55100
Z0149_Z0150_Z0567_Z0570_Z1574,176,"['Z0149', 'Z0150', 'Z0567', 'Z0570', 'Z1574']","['Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1089.5706318077,179,"[0.22346368715083798, 0.22346368715083798, 0.20670391061452514, 0.10614525139664804, 0.24022346368715083]",59,"[0.3050847457627119, 0.3559322033898305, 0.2033898305084746, 0.11864406779661017, 0.01694915254237288]",8,156,325.08299999999997,55100
Z0149_Z0150_Z0567_Z1318_Z1574,176,"['Z0149', 'Z0150', 'Z0567', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1235.8886484974,203,"[0.19704433497536947, 0.19704433497536947, 0.18226600985221675, 0.21182266009852216, 0.21182266009852216]",71,"[0.2535211267605634, 0.29577464788732394, 0.16901408450704225, 0.2676056338028169, 0.014084507042253521]",9,180,377.12399999999997,62300
Z0149_Z0150_Z0570_Z1318_Z1574,176,"['Z0149', 'Z0150', 'Z0570', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1125.3818948198,185,"[0.21621621621621623, 0.21621621621621623, 0.10270270270270271, 0.23243243243243245, 0.23243243243243245]",66,"[0.2727272727272727, 0.3181818181818182, 0.10606060606060606, 0.2878787878787879, 0.015151515151515152]",8,172,360.08,56900
Z0149_Z0567_Z0570_Z1318_Z1574,176,"['Z0149', 'Z0567', 'Z0570', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1109.2874283069,182,"[0.21978021978021978, 0.2032967032967033, 0.1043956043956044, 0.23626373626373626, 0.23626373626373626]",57,"[0.3157894736842105, 0.21052631578947367, 0.12280701754385964, 0.3333333333333333, 0.017543859649122806]",8,152,318.55400000000003,56000
Z0149_Z0150_Z0567_Z0570,176,"['Z0149', 'Z0150', 'Z0567', 'Z0570']","['Residential', 'Residential', 'Residential', 'Residential']",826.8159942351999,136,"[0.29411764705882354, 0.29411764705882354, 0.27205882352941174, 0.13970588235294118]",58,"[0.3103448275862069, 0.3620689655172414, 0.20689655172413793, 0.1206896551724138]",7,117,242.57299999999998,42200
Z0149_Z0150_Z0567_Z1318,176,"['Z0149', 'Z0150', 'Z0567', 'Z1318']","['Residential', 'Residential', 'Residential', 'Residential']",973.1340109248999,160,"[0.25, 0.25, 0.23125, 0.26875]",70,"[0.2571428571428571, 0.3, 0.17142857142857143, 0.2714285714285714]",8,141,294.614,49400
Z0149_Z0150_Z0567_Z1574,176,"['Z0149', 'Z0150', 'Z0567', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",973.3006452559999,160,"[0.25, 0.25, 0.23125, 0.26875]",52,"[0.34615384615384615, 0.40384615384615385, 0.23076923076923078, 0.019230769230769232]",7,141,294.647,49400
Z0149_Z0150_Z0570_Z1318,176,"['Z0149', 'Z0150', 'Z0570', 'Z1318']","['Residential', 'Residential', 'Residential', 'Residential']",862.6272572472999,142,"[0.28169014084507044, 0.28169014084507044, 0.13380281690140844, 0.3028169014084507]",65,"[0.27692307692307694, 0.3230769230769231, 0.1076923076923077, 0.2923076923076923]",7,133,277.57,44000
Z0149_Z0150_Z0570_Z1574,176,"['Z0149', 'Z0150', 'Z0570', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",862.7938915783999,142,"[0.28169014084507044, 0.28169014084507044, 0.13380281690140844, 0.3028169014084507]",47,"[0.3829787234042553, 0.44680851063829785, 0.14893617021276595, 0.02127659574468085]",6,133,277.603,44000
Z0149_Z0150_Z1318_Z1574,176,"['Z0149', 'Z0150', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",1009.1119082680999,166,"[0.24096385542168675, 0.24096385542168675, 0.25903614457831325, 0.25903614457831325]",59,"[0.3050847457627119, 0.3559322033898305, 0.3220338983050847, 0.01694915254237288]",7,157,329.644,51200
Z0149_Z0567_Z0570_Z1318,176,"['Z0149', 'Z0567', 'Z0570', 'Z1318']","['Residential', 'Residential', 'Residential', 'Residential']",846.5327907343999,139,"[0.28776978417266186, 0.26618705035971224, 0.1366906474820144, 0.30935251798561153]",56,"[0.32142857142857145, 0.21428571428571427, 0.125, 0.3392857142857143]",7,113,236.044,43100
Z0149_Z0567_Z0570_Z1574,176,"['Z0149', 'Z0567', 'Z0570', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",846.6994250654999,139,"[0.28776978417266186, 0.26618705035971224, 0.1366906474820144, 0.30935251798561153]",38,"[0.47368421052631576, 0.3157894736842105, 0.18421052631578946, 0.02631578947368421]",6,113,236.077,43100
Z0149_Z0567_Z1318_Z1574,176,"['Z0149', 'Z0567', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",993.0174417551999,163,"[0.24539877300613497, 0.22699386503067484, 0.26380368098159507, 0.26380368098159507]",50,"[0.36, 0.24, 0.38, 0.02]",7,137,288.118,50300
Z0149_Z0570_Z1318_Z1574,176,"['Z0149', 'Z0570', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Residential', 'Commercial']",882.5106880775999,145,"[0.27586206896551724, 0.1310344827586207, 0.296551724137931, 0.296551724137931]",45,"[0.4, 0.15555555555555556, 0.4222222222222222, 0.022222222222222223]",6,129,271.074,44900
Z0149_Z0150_Z0567,176,"['Z0149', 'Z0150', 'Z0567']","['Residential', 'Residential', 'Residential']",710.5460076835,117,"[0.3418803418803419, 0.3418803418803419, 0.3162393162393162]",51,"[0.35294117647058826, 0.4117647058823529, 0.23529411764705882]",6,102,212.13699999999997,36500
Z0149_Z0150_Z0570,176,"['Z0149', 'Z0150', 'Z0570']","['Residential', 'Residential', 'Residential']",600.0392540058999,99,"[0.40404040404040403, 0.40404040404040403, 0.1919191919191919]",46,"[0.391304347826087, 0.45652173913043476, 0.15217391304347827]",5,94,195.093,35260
Z0149_Z0150_Z1318,176,"['Z0149', 'Z0150', 'Z1318']","['Residential', 'Residential', 'Residential']",746.3572706955999,123,"[0.3252032520325203, 0.3252032520325203, 0.34959349593495936]",58,"[0.3103448275862069, 0.3620689655172414, 0.3275862068965517]",6,118,247.134,38300
Z0149_Z0150_Z1574,176,"['Z0149', 'Z0150', 'Z1574']","['Residential', 'Residential', 'Commercial']",746.5239050266999,123,"[0.3252032520325203, 0.3252032520325203, 0.34959349593495936]",40,"[0.45, 0.525, 0.025]",5,118,247.16699999999997,38300
Z0149_Z0567_Z0570,176,"['Z0149', 'Z0567', 'Z0570']","['Residential', 'Residential', 'Residential']",583.9447874929999,96,"[0.4166666666666667, 0.3854166666666667, 0.19791666666666666]",37,"[0.4864864864864865, 0.32432432432432434, 0.1891891891891892]",5,74,153.567,34240
Z0149_Z0567_Z1318,176,"['Z0149', 'Z0567', 'Z1318']","['Residential', 'Residential', 'Residential']",730.2628041826999,120,"[0.3333333333333333, 0.30833333333333335, 0.35833333333333334]",49,"[0.3673469387755102, 0.24489795918367346, 0.3877551020408163]",6,98,205.608,37400
Z0149_Z0567_Z1574,176,"['Z0149', 'Z0567', 'Z1574']","['Residential', 'Residential', 'Commercial']",730.4294385137999,120,"[0.3333333333333333, 0.30833333333333335, 0.35833333333333334]",31,"[0.5806451612903226, 0.3870967741935484, 0.03225806451612903]",5,98,205.64100000000002,37400
Z0149_Z0570_Z1318,176,"['Z0149', 'Z0570', 'Z1318']","['Residential', 'Residential', 'Residential']",619.7560505050999,102,"[0.39215686274509803, 0.18627450980392157, 0.4215686274509804]",44,"[0.4090909090909091, 0.1590909090909091, 0.4318181818181818]",5,90,188.564,32000
Z0149_Z0570_Z1574,176,"['Z0149', 'Z0570', 'Z1574']","['Residential', 'Residential', 'Commercial']",619.9226848362,102,"[0.39215686274509803, 0.18627450980392157, 0.4215686274509804]",26,"[0.6923076923076923, 0.2692307692307692, 0.038461538461538464]",4,90,188.59699999999998,32000
Z0149_Z1318_Z1574,176,"['Z0149', 'Z1318', 'Z1574']","['Residential', 'Residential', 'Commercial']",766.2407015258999,126,"[0.31746031746031744, 0.3412698412698413, 0.3412698412698413]",38,"[0.47368421052631576, 0.5, 0.02631578947368421]",5,114,240.63799999999998,39200
Z0149_Z0150,176,"['Z0149', 'Z0150']","['Residential', 'Residential']",483.76926745419996,80,"[0.5, 0.5]",39,"[0.46153846153846156, 0.5384615384615384]",4,79,164.65699999999998,28800
Z0149_Z0567,176,"['Z0149', 'Z0567']","['Residential', 'Residential']",467.67480094129996,77,"[0.5194805194805194, 0.4805194805194805]",30,"[0.6, 0.4]",4,59,123.131,27780
Z0149_Z0570,176,"['Z0149', 'Z0570']","['Residential', 'Residential']",357.1680472637,59,"[0.6779661016949152, 0.3220338983050847]",25,"[0.72, 0.28]",3,51,106.08699999999999,21660
Z0149_Z1318,176,"['Z0149', 'Z1318']","['Residential', 'Residential']",503.48606395339993,83,"[0.4819277108433735, 0.5180722891566265]",37,"[0.4864864864864865, 0.5135135135135135]",4,75,158.128,29820
Z0149_Z1574,176,"['Z0149', 'Z1574']","['Residential', 'Commercial']",503.65269828449993,83,"[0.4819277108433735, 0.5180722891566265]",19,"[0.9473684210526315, 0.05263157894736842]",3,75,158.161,29820
Z0150_Z0149_Z0567_Z0570_Z0596,176,"['Z0150', 'Z0149', 'Z0567', 'Z0570', 'Z0596']","['Residential', 'Residential', 'Residential', 'Residential', 'Commercial']",1135.3909429318999,187,"[0.21390374331550802, 0.21390374331550802, 0.19786096256684493, 0.10160427807486631, 0.2727272727272727]",61,"[0.3442622950819672, 0.29508196721311475, 0.19672131147540983, 0.11475409836065574, 0.04918032786885246]",10,144,299.19399999999996,57500
Z0150_Z0149_Z0567_Z0596,176,"['Z0150', 'Z0149', 'Z0567', 'Z0596']","['Residential', 'Residential', 'Residential', 'Commercial']",1019.1209563801999,168,"[0.23809523809523808, 0.23809523809523808, 0.22023809523809523, 0.30357142857142855]",54,"[0.3888888888888889, 0.3333333333333333, 0.2222222222222222, 0.05555555555555555]",9,129,268.758,51800
Z0150_Z0149_Z0570_Z0596,176,"['Z0150', 'Z0149', 'Z0570', 'Z0596']","['Residential', 'Residential', 'Residential', 'Commercial']",908.6142027025999,150,"[0.26666666666666666, 0.26666666666666666, 0.12666666666666668, 0.34]",49,"[0.42857142857142855, 0.3673469387755102, 0.14285714285714285, 0.061224489795918366]",8,121,251.714,46400
Z0150_Z0567_Z0570_Z0596,176,"['Z0150', 'Z0567', 'Z0570', 'Z0596']","['Residential', 'Residential', 'Residential', 'Commercial']",894.4928822198999,147,"[0.272108843537415, 0.25170068027210885, 0.1292517006802721, 0.3469387755102041]",43,"[0.4883720930232558, 0.27906976744186046, 0.16279069767441862, 0.06976744186046512]",8,108,223.543,45500
Z0150_Z0149_Z0596,176,"['Z0150', 'Z0149', 'Z0596']","['Residential', 'Residential', 'Commercial']",792.3442161508999,131,"[0.3053435114503817, 0.3053435114503817, 0.3893129770992366]",42,"[0.5, 0.42857142857142855, 0.07142857142857142]",7,106,221.278,40700
Z0150_Z0567_Z0570,176,"['Z0150', 'Z0567', 'Z0570']","['Residential', 'Residential', 'Residential']",585.9179335232,96,"[0.4166666666666667, 0.3854166666666667, 0.19791666666666666]",40,"[0.525, 0.3, 0.175]",5,81,166.922,34240
Z0150_Z0567_Z0596,176,"['Z0150', 'Z0567', 'Z0596']","['Residential', 'Residential', 'Commercial']",778.2228956682,128,"[0.3125, 0.2890625, 0.3984375]",36,"[0.5833333333333334, 0.3333333333333333, 0.08333333333333333]",7,93,193.107,39800
Z0150_Z0570_Z0596,176,"['Z0150', 'Z0570', 'Z0596']","['Residential', 'Residential', 'Commercial']",667.7161419906,110,"[0.36363636363636365, 0.17272727272727273, 0.4636363636363636]",31,"[0.6774193548387096, 0.22580645161290322, 0.0967741935483871]",6,85,176.06300000000002,34400
Z0150_Z0567,176,"['Z0150', 'Z0567']","['Residential', 'Residential']",469.6479469715,77,"[0.5194805194805194, 0.4805194805194805]",33,"[0.6363636363636364, 0.36363636363636365]",4,66,136.486,27780
Z0150_Z0570,176,"['Z0150', 'Z0570']","['Residential', 'Residential']",359.1411932939,59,"[0.6779661016949152, 0.3220338983050847]",28,"[0.75, 0.25]",3,58,119.44200000000001,21660
Z0150_Z0596,176,"['Z0150', 'Z0596']","['Residential', 'Commercial']",551.4461554389,91,"[0.43956043956043955, 0.5604395604395604]",24,"[0.875, 0.125]",5,70,145.627,32540
Z0157_Z0158,26,"['Z0157', 'Z0158']","['Residential', 'Residential']",520.4501044401,86,"[0.5116279069767442, 0.4883720930232558]",36,"[0.5, 0.5]",2,78,163.442,30840
Z0159_Z0160_Z1463_Z1550,144,"['Z0159', 'Z0160', 'Z1463', 'Z1550']","['Residential', 'Residential', 'Residential', 'Commercial']",981.5864876009,162,"[0.2962962962962963, 0.2037037037037037, 0.25925925925925924, 0.24074074074074073]",49,"[0.3877551020408163, 0.2857142857142857, 0.30612244897959184, 0.02040816326530612]",5,136,284.568,50000
Z0159_Z0160_Z1463,144,"['Z0159', 'Z0160', 'Z1463']","['Residential', 'Residential', 'Residential']",743.2116811308999,123,"[0.3902439024390244, 0.2682926829268293, 0.34146341463414637]",48,"[0.3958333333333333, 0.2916666666666667, 0.3125]",4,100,209.71999999999997,38300
Z0159_Z0160_Z1550,144,"['Z0159', 'Z0160', 'Z1550']","['Residential', 'Residential', 'Commercial']",727.141565963,120,"[0.4, 0.275, 0.325]",34,"[0.5588235294117647, 0.4117647058823529, 0.029411764705882353]",4,104,217.976,37400
Z0159_Z1463_Z1550,144,"['Z0159', 'Z1463', 'Z1550']","['Residential', 'Residential', 'Commercial']",783.1698795167001,129,"[0.37209302325581395, 0.32558139534883723, 0.3023255813953488]",35,"[0.5428571428571428, 0.42857142857142855, 0.02857142857142857]",4,106,222.264,40100
Z0159_Z0160,144,"['Z0159', 'Z0160']","['Residential', 'Residential']",488.766759493,81,"[0.5925925925925926, 0.4074074074074074]",33,"[0.5757575757575758, 0.42424242424242425]",3,68,143.128,29140
Z0159_Z1463,144,"['Z0159', 'Z1463']","['Residential', 'Residential']",544.7950730467,90,"[0.5333333333333333, 0.4666666666666667]",34,"[0.5588235294117647, 0.4411764705882353]",3,70,147.416,32200
Z0159_Z1550,144,"['Z0159', 'Z1550']","['Residential', 'Commercial']",528.7249578788001,87,"[0.5517241379310345, 0.4482758620689655]",20,"[0.95, 0.05]",3,74,155.672,31180
Z0160_Z1463_Z1550,144,"['Z0160', 'Z1463', 'Z1550']","['Residential', 'Residential', 'Commercial']",691.2363361921,114,"[0.2894736842105263, 0.3684210526315789, 0.34210526315789475]",30,"[0.4666666666666667, 0.5, 0.03333333333333333]",3,98,203.74400000000003,35600
Z0160_Z1463,144,"['Z0160', 'Z1463']","['Residential', 'Residential']",452.8615297221,75,"[0.44, 0.56]",29,"[0.4827586206896552, 0.5172413793103449]",2,62,128.89600000000002,27100
Z0160_Z1550,144,"['Z0160', 'Z1550']","['Residential', 'Commercial']",436.7914145542,72,"[0.4583333333333333, 0.5416666666666666]",15,"[0.9333333333333333, 0.06666666666666667]",2,66,137.152,26080
Z0161_Z1343_Z1346_Z1347,28,"['Z0161', 'Z1343', 'Z1346', 'Z1347']","['Residential', 'Residential', 'Residential', 'Residential']",921.4349575768999,153,"[0.29411764705882354, 0.24183006535947713, 0.2549019607843137, 0.20915032679738563]",64,"[0.40625, 0.203125, 0.21875, 0.171875]",6,133,233.48299999999998,47300
Z0161_Z1343_Z1346,28,"['Z0161', 'Z1343', 'Z1346']","['Residential', 'Residential', 'Residential']",729.2323845133,121,"[0.371900826446281, 0.30578512396694213, 0.32231404958677684]",53,"[0.49056603773584906, 0.24528301886792453, 0.2641509433962264]",5,109,183.18599999999998,37700
Z0161_Z1343_Z1347,28,"['Z0161', 'Z1343', 'Z1347']","['Residential', 'Residential', 'Residential']",687.0303413408,114,"[0.39473684210526316, 0.32456140350877194, 0.2807017543859649]",50,"[0.52, 0.26, 0.22]",5,104,172.129,35600
Z0161_Z1346_Z1347,28,"['Z0161', 'Z1346', 'Z1347']","['Residential', 'Residential', 'Residential']",699.3363514056999,116,"[0.3879310344827586, 0.33620689655172414, 0.27586206896551724]",51,"[0.5098039215686274, 0.27450980392156865, 0.21568627450980393]",5,105,175.358,36200
Z0161_Z1343,28,"['Z0161', 'Z1343']","['Residential', 'Residential']",494.8277682772,82,"[0.5487804878048781, 0.45121951219512196]",39,"[0.6666666666666666, 0.3333333333333333]",4,80,121.832,29480
Z0161_Z1346,28,"['Z0161', 'Z1346']","['Residential', 'Residential']",507.13377834209996,84,"[0.5357142857142857, 0.4642857142857143]",40,"[0.65, 0.35]",4,81,125.061,30160
Z0161_Z1347,28,"['Z0161', 'Z1347']","['Residential', 'Residential']",464.93173516959996,77,"[0.5844155844155844, 0.4155844155844156]",37,"[0.7027027027027027, 0.2972972972972973]",4,76,114.00399999999999,27780
Z0197_Z0198,875,"['Z0197', 'Z0198']","['Residential', 'Residential']",404.237528963,66,"[0.5303030303030303, 0.4696969696969697]",33,"[0.5151515151515151, 0.48484848484848486]",2,71,148.149,24040
Z0244_Z0245,440,"['Z0244', 'Z0245']","['Commercial', 'Public']",585.10218331,97,"[0.4536082474226804, 0.5463917525773195]",2,"[0.5, 0.5]",2,204,83.067,34580
Z0249_Z1069,596,"['Z0249', 'Z1069']","['Public', 'Residential']",684.8904309428001,113,"[0.4247787610619469, 0.5752212389380531]",37,"[0.02702702702702703, 0.972972972972973]",2,137,17.764,35300
Z0259_Z0260_Z1588_Z1651,846,"['Z0259', 'Z0260', 'Z1588', 'Z1651']","['Public', 'Public', 'Public', 'Residential']",797.4447970203,131,"[0.22900763358778625, 0.25190839694656486, 0.0916030534351145, 0.42748091603053434]",28,"[0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.8571428571428571]",9,114,196.352,40700
Z0259_Z0260_Z1588,846,"['Z0259', 'Z0260', 'Z1588']","['Public', 'Public', 'Public']",458.2815362207,75,"[0.4, 0.44, 0.16]",4,"[0.25, 0.5, 0.25]",4,70,150.067,27100
Z0259_Z0260_Z1651,846,"['Z0259', 'Z0260', 'Z1651']","['Public', 'Public', 'Residential']",721.3329637121999,119,"[0.25210084033613445, 0.2773109243697479, 0.47058823529411764]",27,"[0.037037037037037035, 0.07407407407407407, 0.8888888888888888]",8,110,184.125,37100
Z0259_Z1588_Z1651,846,"['Z0259', 'Z1588', 'Z1651']","['Public', 'Public', 'Residential']",598.2340646366999,98,"[0.30612244897959184, 0.12244897959183673, 0.5714285714285714]",26,"[0.038461538461538464, 0.038461538461538464, 0.9230769230769231]",7,80,125.561,34920
Z0259_Z0260,846,"['Z0259', 'Z0260']","['Public', 'Public']",382.1697029126,63,"[0.47619047619047616, 0.5238095238095238]",3,"[0.3333333333333333, 0.6666666666666666]",3,66,137.84,23020
Z0259_Z1588,846,"['Z0259', 'Z1588']","['Public', 'Public']",259.0708038371,42,"[0.7142857142857143, 0.2857142857142857]",2,"[0.5, 0.5]",2,36,79.27600000000001,15880
Z0259_Z1651,846,"['Z0259', 'Z1651']","['Public', 'Residential']",522.1222313286,86,"[0.3488372093023256, 0.6511627906976745]",25,"[0.04, 0.96]",6,76,113.334,30840
Z0260_Z1588_Z1651,846,"['Z0260', 'Z1588', 'Z1651']","['Public', 'Public', 'Residential']",614.4858264913,101,"[0.32673267326732675, 0.1188118811881188, 0.5544554455445545]",27,"[0.07407407407407407, 0.037037037037037035, 0.8888888888888888]",8,82,129.303,31700
Z0260_Z1588,846,"['Z0260', 'Z1588']","['Public', 'Public']",275.3225656917,45,"[0.7333333333333333, 0.26666666666666666]",3,"[0.6666666666666666, 0.3333333333333333]",3,38,83.018,16900
